,Movie ID,Actor 1,Actor 2,Actor 3,Director
115,8007,Owen Wilson,Gene Hackman,Gabriel Macht,John Moore
116,10950,Sean Penn,Michelle Pfeiffer,Dianne Wiest,Jessie Nelson
117,2100,Robert Redford,James Gandolfini,Mark Ruffalo,Rod Lurie
118,12610,Chris Rock,Laurence Fishburne,David Hyde Pierce,Bobby Farrelly
119,10796,Jet Li,Jason Statham,Carla Gugino,James Wong
120,8386,Method Man,Redman,Obba Babatundé,Jesse Dylan
121,2110,Jean Reno,Ryoko Hirosue,Michel Muller,Gérard Krawczyk
122,2043,Morgan Freeman,Monica Potter,Michael Wincott,Lee Tamahori
123,5458,Robin Dunne,Sarah Thompson,Keri Lynn Pratt,Roger Kumble
124,11469,Martin Lawrence,Marsha Thomason,Tom Wilkinson,Gil Junger
125,10757,Shah Rukh Khan,Amitabh Bachchan,Jaya Bachchan,Karan Johar
126,15601,Grey DeLisle,Mikey Kelley,B.J. Ward,Jim Stenstrum
127,824,Nicole Kidman,Ewan McGregor,John Leguizamo,Baz Luhrmann
128,672,Daniel Radcliffe,Rupert Grint,Emma Watson,Chris Columbus
129,557,Tobey Maguire,Willem Dafoe,Kirsten Dunst,Sam Raimi
130,425,Ray Romano,John Leguizamo,Denis Leary,Chris Wedge
131,121,Viggo Mortensen,Elijah Wood,Sean Astin,Peter Jackson
132,9023,Matt Damon,James Cromwell,Charles Napier,Kelly Asbury
133,15015,Kelly Sheridan,Anjelica Huston,Cree Summer,Owen Hurley
134,8869,David Arquette,Kari Wuhrer,Doug E. Doug,Ellory Elkayem
135,9637,Freddie Prinze Jr.,Sarah Michelle Gellar,Matthew Lillard,Raja Gosnell
136,640,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Steven Spielberg
137,11544,Daveigh Chase,Chris Sanders,Tia Carrere,Chris Sanders
138,14128,Jennifer Hale,Rob Paulsen,Corey Burton,John Kafka
139,11838,Megumi Okina,Misaki Ito,Misa Uehara,Takashi Shimizu
140,979,Monica Bellucci,Vincent Cassel,Albert Dupontel,Gaspar Noé
141,9016,Joseph Gordon-Levitt,Brian Murray,Emma Thompson,Ron Clements
142,423,Adrien Brody,Thomas Kretschmann,Frank Finlay,Roman Polanski
143,598,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Fernando Meirelles
144,15070,Wesley Snipes,Ving Rhames,Peter Falk,Walter Hill
145,2899,Christian Clavier,Gérard Depardieu,Jamel Debbouze,Alain Chabat
146,11852,Rob Schneider,Rachel McAdams,Anna Faris,Tom Brady
147,170,Cillian Murphy,Naomie Harris,Brendan Gleeson,Danny Boyle
148,2251,Richard Gere,Diane Lane,Olivier Martinez,Adrian Lyne
149,2501,Matt Damon,Franka Potente,Chris Cooper,Doug Liman
150,1894,Hayden Christensen,Ewan McGregor,Natalie Portman,George Lucas
151,608,Will Smith,Tommy Lee Jones,Lara Flynn Boyle,Barry Sonnenfeld
152,565,Naomi Watts,Martin Henderson,David Dorfman,Gore Verbinski
