,Movie ID,Budget,Revenue,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Release Date,Run Time
120,8386,12000000,31155435,Comedy,N/A,N/A,N/A,N/A,2001-12-21,93
121,2110,15300000,10366360,Drama,Action,Comedy,N/A,N/A,2001-10-31,94
122,2043,60000000,105178561,Crime,Mystery,Thriller,Action,N/A,2001-04-06,104
123,5458,0,0,Drama,N/A,N/A,N/A,N/A,2001-03-13,87
124,11469,50000000,33422806,Comedy,Fantasy,Adventure,N/A,N/A,2001-11-21,95
125,10757,0,0,Comedy,Drama,N/A,N/A,N/A,2001-12-14,209
126,15601,0,0,Animation,Adventure,Comedy,N/A,N/A,2001-10-09,73
127,824,52500000,179213434,Drama,Romance,Music,N/A,N/A,2001-05-24,128
128,672,100000000,876688482,Adventure,Fantasy,N/A,N/A,N/A,2002-11-13,161
129,557,139000000,821708551,Fantasy,Action,N/A,N/A,N/A,2002-05-01,121
130,425,59000000,383257136,Animation,Comedy,Family,Adventure,N/A,2002-03-10,81
131,121,79000000,926287400,Adventure,Fantasy,Action,N/A,N/A,2002-12-18,179
132,9023,80000000,122563539,Western,Animation,Adventure,Comedy,Family,2002-05-24,83
133,15015,0,0,Animation,Family,N/A,N/A,N/A,2002-10-01,84
134,8869,30000000,45867333,Action,Comedy,Horror,Thriller,N/A,2002-07-17,99
135,9637,84000000,275650703,Mystery,Adventure,Comedy,N/A,N/A,2002-06-14,88
136,640,52000000,352114312,Drama,Crime,N/A,N/A,N/A,2002-12-16,141
137,11544,80000000,273144151,Animation,Family,N/A,N/A,N/A,2002-06-21,85
138,14128,5000000,0,Family,Animation,Romance,Fantasy,N/A,2002-02-23,74
139,11838,3500000,3657876,Horror,N/A,N/A,N/A,N/A,2002-10-18,92
140,979,3500000,6500000,Drama,Thriller,Crime,N/A,N/A,2002-05-22,98
141,9016,140000000,109578115,Adventure,Animation,Family,Fantasy,Science Fiction,2002-11-26,95
142,423,35000000,120072577,Drama,War,N/A,N/A,N/A,2002-09-17,150
143,598,3300000,30641770,Drama,Crime,N/A,N/A,N/A,2002-08-30,130
144,15070,20000000,14946150,Drama,Crime,N/A,N/A,N/A,2002-07-17,96
145,2899,58500000,128027976,Family,Fantasy,Comedy,Adventure,N/A,2002-01-30,108
146,11852,0,54639553,Comedy,Fantasy,N/A,N/A,N/A,2002-12-13,104
147,170,5000000,85720385,Horror,Thriller,Science Fiction,N/A,N/A,2002-10-31,113
148,2251,50000000,119137784,Thriller,Drama,N/A,N/A,N/A,2002-05-10,124
149,2501,60000000,214034224,Action,Drama,Mystery,Thriller,N/A,2002-06-14,119
150,1894,120000000,649398328,Adventure,Action,Science Fiction,N/A,N/A,2002-05-15,142
151,608,140000000,445135288,Action,Adventure,Comedy,Science Fiction,N/A,2002-07-03,88
152,565,48000000,249348933,Horror,Mystery,N/A,N/A,N/A,2002-10-18,115
153,10229,11800000,47494916,Drama,Romance,N/A,N/A,N/A,2002-01-25,101
154,180,102000000,358372926,Action,Thriller,Science Fiction,Mystery,N/A,2002-06-20,145
155,13654,0,0,Family,Adventure,Comedy,Animation,N/A,2002-11-06,74
156,9488,38000000,119723358,Action,Adventure,Family,Comedy,Science Fiction,2002-08-07,100
157,15370,0,54016370,Adventure,Fantasy,Animation,Drama,Family,2002-07-19,75
158,11362,35000000,75395048,Adventure,Drama,History,N/A,N/A,2002-01-23,131
159,26662,0,0,Animation,Adventure,Mystery,N/A,N/A,2002-04-20,107
160,65,41000000,242875078,Drama,Music,N/A,N/A,N/A,2002-11-08,111
161,64,0,64803131,Drama,Romance,N/A,N/A,N/A,2002-03-15,112
162,1576,33000000,102984862,Horror,Action,Science Fiction,N/A,N/A,2002-03-15,100
163,4108,21000000,43928932,Action,Crime,Thriller,N/A,N/A,2002-10-02,92
164,7451,70000000,277448382,Action,Adventure,Thriller,N/A,N/A,2002-08-09,124
165,10996,120000000,169956806,Family,Adventure,Animation,Comedy,N/A,2002-07-19,78
166,2675,72000000,408247917,Drama,Thriller,Science Fiction,Mystery,N/A,2002-08-02,106
167,33875,0,20867919,Animation,Adventure,Action,Fantasy,N/A,2002-07-13,71
168,12448,0,0,Animation,Family,Comedy,N/A,N/A,2002-02-05,68
169,11013,4000000,9304609,Comedy,Drama,Romance,N/A,N/A,2002-09-20,107
170,36669,140000000,431971116,Adventure,Action,Thriller,N/A,N/A,2002-11-17,133
171,36586,54000000,155010032,Fantasy,Horror,Action,Thriller,N/A,2002-03-22,117
172,8470,36000000,102244770,Drama,Thriller,Crime,N/A,N/A,2002-02-15,116
173,7090,1300000,447741,Drama,N/A,N/A,N/A,N/A,2002-08-31,97
174,9645,35000000,68349884,Horror,Mystery,Thriller,N/A,N/A,2002-10-25,91
175,12590,40000000,2622015,Thriller,Horror,Mystery,N/A,N/A,2002-08-11,105
176,22537,0,0,Action,Animation,Adventure,Fantasy,N/A,2002-12-22,100
177,1574,45000000,306776732,Comedy,Crime,Drama,N/A,N/A,2002-12-10,113
178,9334,60000000,165333180,Action,Adventure,Fantasy,N/A,N/A,2002-04-18,92
179,818,63000000,296938801,Comedy,Crime,Science Fiction,N/A,N/A,2002-07-26,93
180,13931,0,0,Animation,Comedy,Family,Fantasy,N/A,2002-05-24,3
181,12536,0,0,Comedy,Family,TV Movie,N/A,N/A,2002-11-03,84
182,14365,25000000,7775138,Thriller,N/A,N/A,N/A,N/A,2002-05-10,100
183,320,46000000,113714830,Crime,Mystery,Thriller,N/A,N/A,2002-05-24,118
184,12100,115000000,77628265,War,Drama,Action,History,N/A,2002-06-14,134
185,201,60000000,67312826,Science Fiction,Action,Adventure,Thriller,N/A,2002-12-13,116
186,7342,0,0,Drama,Horror,TV Movie,N/A,N/A,2002-11-04,132
187,10590,75000000,114660784,Action,History,War,N/A,N/A,2002-03-01,138
188,2642,60000000,199043242,Comedy,Romance,N/A,N/A,N/A,2002-12-19,101
