,# 1st Billing,# 2nd Billing,# 3rd Billing,# 4th Billing,# 5th Billing,Total Movie Count
Laurence Fishburne,1.0,3.0,2.0,5.0,1.0,12.0
Ed Harris,1.0,2.0,5.0,2.0,2.0,12.0
Rachel Weisz,0.0,6.0,5.0,1.0,0.0,12.0
Rosamund Pike,0.0,5.0,2.0,4.0,1.0,12.0
Jim Broadbent,0.0,0.0,2.0,8.0,2.0,12.0
Jennifer Lopez,8.0,2.0,0.0,1.0,0.0,11.0
Jeff Bridges,8.0,1.0,2.0,0.0,0.0,11.0
Saoirse Ronan,7.0,1.0,1.0,1.0,1.0,11.0
Eddie Murphy,6.0,5.0,0.0,0.0,0.0,11.0
Julia Roberts,6.0,4.0,0.0,0.0,1.0,11.0
Sam Worthington,6.0,3.0,1.0,1.0,0.0,11.0
Joseph Gordon-Levitt,6.0,1.0,1.0,2.0,1.0,11.0
Kevin Costner,5.0,3.0,2.0,1.0,0.0,11.0
Miles Teller,5.0,2.0,2.0,1.0,1.0,11.0
Mads Mikkelsen,5.0,0.0,4.0,1.0,1.0,11.0
Jeremy Renner,4.0,3.0,2.0,2.0,0.0,11.0
Jason Clarke,4.0,3.0,2.0,1.0,1.0,11.0
Sacha Baron Cohen,4.0,2.0,0.0,1.0,4.0,11.0
Simon Pegg,4.0,0.0,2.0,2.0,3.0,11.0
Keira Knightley,3.0,3.0,4.0,1.0,0.0,11.0
Emma Thompson,3.0,3.0,2.0,1.0,2.0,11.0
Jason Sudeikis,2.0,4.0,1.0,2.0,2.0,11.0
Michelle Monaghan,2.0,3.0,4.0,0.0,2.0,11.0
Ben Foster,2.0,2.0,4.0,2.0,1.0,11.0
Stellan Skarsgård,2.0,0.0,1.0,5.0,3.0,11.0
James Marsden,1.0,7.0,1.0,2.0,0.0,11.0
Leslie Mann,1.0,4.0,4.0,1.0,1.0,11.0
Josh Gad,1.0,4.0,1.0,1.0,4.0,11.0
Jennifer Connelly,0.0,4.0,5.0,1.0,1.0,11.0
Michelle Pfeiffer,0.0,4.0,4.0,2.0,1.0,11.0
Michael Caine,0.0,2.0,7.0,2.0,0.0,11.0
Carla Gugino,0.0,2.0,4.0,4.0,1.0,11.0
Djimon Hounsou,0.0,2.0,1.0,5.0,3.0,11.0
Ian McShane,0.0,1.0,6.0,2.0,2.0,11.0
Ice Cube,6.0,4.0,0.0,0.0,0.0,10.0
Arnold Schwarzenegger,6.0,2.0,1.0,0.0,1.0,10.0
Renée Zellweger,5.0,3.0,2.0,0.0,0.0,10.0
Johnny Knoxville,5.0,2.0,0.0,1.0,2.0,10.0
Robert Pattinson,4.0,6.0,0.0,0.0,0.0,10.0
Ian McKellen,4.0,2.0,3.0,0.0,1.0,10.0
Paul Rudd,4.0,0.0,4.0,2.0,0.0,10.0
Kevin Spacey,3.0,5.0,0.0,1.0,1.0,10.0
Mary Elizabeth Winstead,3.0,3.0,2.0,2.0,0.0,10.0
Liam Hemsworth,3.0,2.0,4.0,1.0,0.0,10.0
Hailee Steinfeld,3.0,2.0,2.0,3.0,0.0,10.0
Taraji P. Henson,3.0,2.0,2.0,2.0,1.0,10.0
Anthony Hopkins,3.0,1.0,2.0,4.0,0.0,10.0
Anya Taylor-Joy,2.0,4.0,1.0,1.0,2.0,10.0
Chiwetel Ejiofor,2.0,3.0,3.0,2.0,0.0,10.0
Adrien Brody,2.0,2.0,5.0,0.0,1.0,10.0
Jared Leto,2.0,2.0,4.0,2.0,0.0,10.0
Michael Shannon,2.0,2.0,3.0,1.0,2.0,10.0
Viola Davis,2.0,2.0,1.0,4.0,1.0,10.0
Geoffrey Rush,2.0,1.0,3.0,2.0,2.0,10.0
Cillian Murphy,2.0,1.0,3.0,1.0,3.0,10.0
Michelle Rodriguez,1.0,4.0,1.0,3.0,1.0,10.0
Zach Galifianakis,1.0,2.0,6.0,1.0,0.0,10.0
Tyrese Gibson,1.0,2.0,1.0,4.0,2.0,10.0
Rosario Dawson,1.0,1.0,5.0,2.0,1.0,10.0
Linda Cardellini,1.0,1.0,2.0,3.0,3.0,10.0
Vincent Cassel,0.0,5.0,3.0,1.0,1.0,10.0
